Test Name,Status,Config Pass Count,Config Fail Count,Test Pass Count,Test Fail Count,Test Skip Count,
com.agilysys.qa.gridIron.service.reservation.TestBookReservation.testCreateReservationWithReservationAlias,TEST SKIPPED,90,14,0,0,77,
com.agilysys.qa.gridIron.service.reservation.TestBookReservation.wrapperAfterMethod,CONFIG PASS,91,14,0,0,77,
com.agilysys.qa.gridIron.service.reservation.TestBookReservation.testCreateReservationWithThirdPartyDetails,TEST SKIPPED,91,14,0,0,78,
com.agilysys.qa.gridIron.service.reservation.TestBookReservation.wrapperAfterMethod,CONFIG PASS,92,14,0,0,78,
com.agilysys.qa.gridIron.service.reservation.TestBookReservation.testCreateReservationWithTrackingInfo,TEST SKIPPED,92,14,0,0,79,
com.agilysys.qa.gridIron.service.reservation.TestBookReservation.wrapperAfterMethod,CONFIG PASS,93,14,0,0,79,
com.agilysys.qa.gridIron.service.reservation.TestBookReservation.testCreateReservationWithTrackingInfoSaveToProfile,TEST SKIPPED,93,14,0,0,80,
com.agilysys.qa.gridIron.service.reservation.TestBookReservation.wrapperAfterMethod,CONFIG PASS,94,14,0,0,80,
com.agilysys.qa.gridIron.service.reservation.TestBookReservation.testCreateReservationWithTravelAgent,TEST SKIPPED,94,14,0,0,81,
com.agilysys.qa.gridIron.service.reservation.TestBookReservation.wrapperAfterMethod,CONFIG PASS,95,14,0,0,81,
com.agilysys.qa.gridIron.service.reservation.TestBookReservation.testCreateWalkInReservation,TEST SKIPPED,95,14,0,0,82,
com.agilysys.qa.gridIron.service.reservation.TestBookReservation.wrapperAfterMethod,CONFIG PASS,96,14,0,0,82,
com.agilysys.qa.gridIron.service.reservation.TestBookReservation.defaultAfterClass,CONFIG PASS,97,14,0,0,82,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationWithDifferentRates.beforeClass,CONFIG FAIL,97,15,0,0,82,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationWithDifferentRates.testCreateReservationWithAdjustedRate,TEST SKIPPED,97,15,0,0,83,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationWithDifferentRates.wrapperAfterMethod,CONFIG PASS,98,15,0,0,83,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationWithDifferentRates.testCreateReservationWithCompRate,TEST SKIPPED,98,15,0,0,84,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationWithDifferentRates.wrapperAfterMethod,CONFIG PASS,99,15,0,0,84,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationWithDifferentRates.testCreateReservationWithPackageRatePlan,TEST SKIPPED,99,15,0,0,85,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationWithDifferentRates.wrapperAfterMethod,CONFIG PASS,100,15,0,0,85,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationWithDifferentRates.testCreateReservationWithPackageRatePlanAdjustedRate,TEST SKIPPED,100,15,0,0,86,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationWithDifferentRates.wrapperAfterMethod,CONFIG PASS,101,15,0,0,86,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationWithDifferentRates.testCreateReservationWithPackageRatePlanAndRegularRatePlan,TEST SKIPPED,101,15,0,0,87,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationWithDifferentRates.wrapperAfterMethod,CONFIG PASS,102,15,0,0,87,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationWithDifferentRates.testCreateReservationWithPackageRatePlanCompRate,TEST SKIPPED,102,15,0,0,88,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationWithDifferentRates.wrapperAfterMethod,CONFIG PASS,103,15,0,0,88,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationWithDifferentRates.testCreateReservationWithPackageRatePlanIssueComp,TEST SKIPPED,103,15,0,0,89,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationWithDifferentRates.wrapperAfterMethod,CONFIG PASS,104,15,0,0,89,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationWithDifferentRates.testCreateReservationWithPackageRatePlanRedeemComp,TEST SKIPPED,104,15,0,0,90,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationWithDifferentRates.wrapperAfterMethod,CONFIG PASS,105,15,0,0,90,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationWithDifferentRates.testCreateReservationWithRegularRatePlanIssueComp,TEST SKIPPED,105,15,0,0,91,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationWithDifferentRates.wrapperAfterMethod,CONFIG PASS,106,15,0,0,91,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationWithDifferentRates.testCreateReservationWithRegularRatePlanRedeemComp,TEST SKIPPED,106,15,0,0,92,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationWithDifferentRates.wrapperAfterMethod,CONFIG PASS,107,15,0,0,92,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationWithDifferentRates.defaultAfterClass,CONFIG PASS,108,15,0,0,92,
